Question,Choice A,Choice B,Choice C,Choice D,Correct Answer,Category
Which year did World War II end?,1943,1944,1945,1946,1945,HISTORY
Who was the first President of the United States?,John Adams,George Washington,Thomas Jefferson,Benjamin Franklin,George Washington,HISTORY
Which civilization built the pyramids of Giza?,Romans,Greeks,Persians,Egyptians,Egyptians,HISTORY
In which year did the Berlin Wall fall?,1987,1988,1989,1990,1989,HISTORY
Who wrote the Declaration of Independence?,Benjamin Franklin,John Adams,George Washington,Thomas Jefferson,Thomas Jefferson,HISTORY
The Industrial Revolution began in which country?,France,Germany,England,United States,England,HISTORY
What is the chemical symbol for gold?,Au,Ag,Fe,Cu,Au,SCIENCE
What is the closest planet to the Sun?,Venus,Mars,Mercury,Earth,Mercury,SCIENCE
What is the hardest natural substance on Earth?,Steel,Gold,Platinum,Diamond,Diamond,SCIENCE
Which gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Carbon Dioxide,SCIENCE
What is the speed of light in miles per second?,186000,156000,196000,176000,186000,SCIENCE
What is the largest organ in the human body?,Heart,Brain,Liver,Skin,Skin,SCIENCE
What is the capital of Australia?,Sydney,Melbourne,Perth,Canberra,Canberra,GEOGRAPHY
Which is the longest river in the world?,Amazon,Nile,Yangtze,Mississippi,Nile,GEOGRAPHY
Which continent is the largest by land area?,North America,Africa,Asia,Europe,Asia,GEOGRAPHY
What is the smallest country in the world?,Monaco,San Marino,Liechtenstein,Vatican City,Vatican City,GEOGRAPHY
Which ocean is the largest?,Atlantic,Indian,Arctic,Pacific,Pacific,GEOGRAPHY
Which desert is the largest in the world?,Gobi,Arabian,Sahara,Antarctic,Antarctic,GEOGRAPHY
Who wrote Romeo and Juliet?,Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,William Shakespeare,LITERATURE
What is the first book in The Chronicles of Narnia series?,Prince Caspian,The Silver Chair,The Lion the Witch and the Wardrobe,The Magician's Nephew,The Lion the Witch and the Wardrobe,LITERATURE
Who wrote Pride and Prejudice?,Emily Bronte,Charlotte Bronte,Virginia Woolf,Jane Austen,Jane Austen,LITERATURE
Which author created Sherlock Holmes?,Charles Dickens,Arthur Conan Doyle,Agatha Christie,Mark Twain,Arthur Conan Doyle,LITERATURE
Who wrote 1984?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,George Orwell,LITERATURE
What is the first Harry Potter book titled?,Chamber of Secrets,Prisoner of Azkaban,Philosopher's Stone,Goblet of Fire,Philosopher's Stone,LITERATURE
What is the square root of 144?,10,11,12,13,12,MATH
How many degrees are in a circle?,180,270,360,400,360,MATH
What is 25% of 80?,15,20,25,30,20,MATH
What is the next number in the sequence: 2 4 8 16?,24,32,30,28,32,MATH
What is the value of π (pi) rounded to two decimal places?,3.12,3.14,3.16,3.18,3.14,MATH
How many sides does a hexagon have?,5,6,7,8,6,MATH
